               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05856,            0.038109,                   0,              0.9139,             0.87103,             0.92798,             0.49027,             0.03448,             0.01947,                   0,           0.0033284,           0.0033284,            0.070044
                   1,            0.042208,            0.026552,                   0,             0.92481,             0.90887,             0.95059,             0.53086,            0.031768,            0.017117,                   0,           0.0066614,           0.0066614,            0.040044
                   2,            0.038662,            0.025043,                   0,             0.92422,             0.91765,             0.95555,             0.54366,            0.031269,            0.016867,                   0,           0.0099929,           0.0099929,            0.010042
                   3,            0.036201,            0.024899,                   0,              0.9311,             0.91281,             0.95734,             0.54484,            0.030125,            0.016696,                   0,            0.009995,            0.009995,            0.009995
                   4,            0.033878,            0.024007,                   0,             0.93099,             0.92715,             0.96359,             0.56107,            0.030088,            0.016348,                   0,            0.009995,            0.009995,            0.009995
                   5,            0.033051,            0.023566,                   0,             0.94528,             0.92068,             0.96725,             0.58154,            0.028666,            0.015974,                   0,           0.0099911,           0.0099911,           0.0099911
                   6,            0.032272,            0.023085,                   0,             0.95295,             0.92596,             0.97031,              0.5921,              0.0285,            0.015798,                   0,           0.0099861,           0.0099861,           0.0099861
                   7,            0.031834,            0.022944,                   0,             0.95084,             0.92734,              0.9717,             0.59741,            0.027907,            0.015755,                   0,             0.00998,             0.00998,             0.00998
                   8,            0.031373,            0.022564,                   0,             0.95032,             0.92084,             0.96739,             0.60021,            0.027873,            0.015786,                   0,           0.0099728,           0.0099728,           0.0099728
                   9,            0.031036,            0.022318,                   0,             0.94028,             0.93975,              0.9707,             0.60618,            0.027432,            0.015645,                   0,           0.0099645,           0.0099645,           0.0099645
                  10,            0.030739,            0.022195,                   0,             0.95063,             0.93975,             0.97572,              0.6158,            0.027392,            0.015383,                   0,           0.0099551,           0.0099551,           0.0099551
                  11,            0.030508,            0.022153,                   0,             0.94939,             0.94276,              0.9771,             0.61515,            0.027526,            0.015278,                   0,           0.0099446,           0.0099446,           0.0099446
                  12,            0.030326,            0.022053,                   0,             0.94718,             0.94066,             0.97605,             0.61636,            0.026958,            0.015312,                   0,            0.009933,            0.009933,            0.009933
                  13,            0.030079,            0.021894,                   0,             0.94186,             0.95156,             0.97806,             0.62296,             0.02704,            0.015223,                   0,           0.0099203,           0.0099203,           0.0099203
                  14,            0.029911,            0.021724,                   0,             0.94446,             0.95065,             0.97707,             0.62749,            0.026497,              0.0151,                   0,           0.0099065,           0.0099065,           0.0099065
                  15,            0.029868,             0.02161,                   0,             0.94537,             0.94883,             0.97996,             0.63042,            0.026793,            0.014973,                   0,           0.0098916,           0.0098916,           0.0098916
                  16,            0.029796,             0.02191,                   0,             0.94625,             0.94333,             0.97545,             0.62722,            0.026723,            0.015136,                   0,           0.0098757,           0.0098757,           0.0098757
                  17,             0.02959,            0.021628,                   0,              0.9475,             0.95095,             0.97867,             0.63294,            0.026744,            0.015033,                   0,           0.0098586,           0.0098586,           0.0098586
                  18,            0.029358,            0.021624,                   0,             0.94414,             0.95184,             0.97717,             0.63556,            0.026524,            0.014908,                   0,           0.0098405,           0.0098405,           0.0098405
                  19,            0.029265,            0.021437,                   0,                0.95,             0.94334,             0.97885,             0.63584,            0.026034,            0.014857,                   0,           0.0098213,           0.0098213,           0.0098213
                  20,            0.029207,            0.021307,                   0,             0.94633,             0.95025,             0.97907,             0.63893,            0.025686,            0.014875,                   0,           0.0098011,           0.0098011,           0.0098011
                  21,            0.028887,             0.02129,                   0,             0.94741,             0.95455,             0.97837,             0.64007,            0.025704,            0.014798,                   0,           0.0097798,           0.0097798,           0.0097798
                  22,            0.028869,            0.021029,                   0,             0.96069,             0.93966,             0.97909,             0.64011,              0.0259,            0.014849,                   0,           0.0097574,           0.0097574,           0.0097574
                  23,            0.028958,            0.021205,                   0,             0.96129,             0.94429,             0.98219,             0.64729,            0.025134,            0.014682,                   0,            0.009734,            0.009734,            0.009734
                  24,             0.02864,            0.021169,                   0,             0.95893,             0.94724,             0.98192,             0.64413,            0.026138,            0.014671,                   0,           0.0097095,           0.0097095,           0.0097095
                  25,            0.028495,            0.020809,                   0,             0.95661,             0.94127,             0.98095,             0.64794,            0.025859,            0.014612,                   0,            0.009684,            0.009684,            0.009684
                  26,            0.028588,            0.021065,                   0,             0.95085,             0.95475,             0.98219,             0.64818,            0.025691,            0.014627,                   0,           0.0096575,           0.0096575,           0.0096575
                  27,            0.028587,            0.020911,                   0,             0.94261,             0.95971,             0.98115,             0.64576,            0.025769,            0.014669,                   0,           0.0096299,           0.0096299,           0.0096299
                  28,            0.028289,            0.020879,                   0,             0.94655,             0.95489,             0.98126,             0.64642,            0.026062,            0.014648,                   0,           0.0096013,           0.0096013,           0.0096013
                  29,            0.028184,               0.021,                   0,               0.955,             0.94883,              0.9794,             0.64892,            0.025754,            0.014589,                   0,           0.0095717,           0.0095717,           0.0095717
